month,avg_rating,review_count
2012-08,4.1,13242
2012-09,4.085,13457
2012-10,4.102,15515
2012-11,4.157,20511
2012-12,4.257,38774
2013-01,4.261,45829
2013-02,4.226,38495
2013-03,4.206,42175
2013-04,4.214,40638
2013-05,4.208,43283
2013-06,4.212,43219
2013-07,4.201,42182
2013-08,4.189,44452
2013-09,4.177,38635
2013-10,4.195,43155
2013-11,4.146,39534
2013-12,4.175,52505
2014-01,4.211,63847
2014-02,4.175,54852
2014-03,4.187,60751
2014-04,4.184,53929
2014-05,4.174,53439
2014-06,4.183,55544
2014-07,4.255,88427
2014-08,4.264,89182
2014-09,4.259,84897
2014-10,4.271,91114
2014-11,4.272,90547
2014-12,4.284,113248
2015-01,4.302,124811
2015-02,4.281,122537
2015-03,4.283,136338
2015-04,4.262,118845
2015-05,4.262,117014
2015-06,4.27,117959
2015-07,4.265,124768
2015-08,4.259,126595
2015-09,4.244,115318
2015-10,4.253,122081
2015-11,4.262,121470
2015-12,4.223,115450
2016-01,4.257,146247
2016-02,4.238,142066
2016-03,4.253,160585
2016-04,4.239,131697
2016-05,4.254,145649
2016-06,4.254,146394
2016-07,4.257,152523
2016-08,4.247,153623
2016-09,4.252,143434
2016-10,4.239,134060
2016-11,4.231,126331
2016-12,4.26,175091
2017-01,4.268,182062
2017-02,4.223,143458
2017-03,4.212,173033
2017-04,4.193,147614
2017-05,4.182,143883
2017-06,4.162,136254
2017-07,4.162,143149
2017-08,4.179,156881
2017-09,4.16,140480
2017-10,4.141,135664
2017-11,4.119,134863
2017-12,4.111,143824
2018-01,4.16,182052
2018-02,4.119,160502
2018-03,4.112,188632
2018-04,4.106,175765
2018-05,4.092,157278
2018-06,4.133,161757
2018-07,4.137,168527
2018-08,4.146,160608
2018-09,4.111,119460
2018-10,4.133,133773
2018-11,4.144,128303
2018-12,4.204,169469
2019-01,4.239,199279
2019-02,4.163,159295
2019-03,4.181,189285
2019-04,4.202,179314
2019-05,4.227,194047
2019-06,4.252,222642
2019-07,4.271,268428
2019-08,4.22,224458
2019-09,4.201,198952
2019-10,4.185,205395
2019-11,4.197,212002
2019-12,4.229,328988
2020-01,4.24,365497
2020-02,4.206,325277
2020-03,4.171,257890
2020-04,4.054,231650
2020-05,4.094,323072
2020-06,4.097,300408
2020-07,4.115,317523
2020-08,4.13,308694
2020-09,4.117,276585
2020-10,4.113,292786
2020-11,4.1,249438
2020-12,4.114,298622
2021-01,4.135,347087
2021-02,4.071,325876
2021-03,4.058,398315
2021-04,4.049,378799
2021-05,4.018,334556
2021-06,4.01,326499
2021-07,3.998,332866
2021-08,3.955,296863
2021-09,3.919,245672
2021-10,3.904,249021
2021-11,3.901,223105
2021-12,3.92,262115
2022-01,3.958,299930
2022-02,3.879,254055
2022-03,3.902,301482
2022-04,3.912,286648
2022-05,3.908,285307
2022-06,3.911,278202
2022-07,3.935,319467
2022-08,3.962,348369
2022-09,3.953,312729
2022-10,3.994,336798
2022-11,4.046,316446
2022-12,4.074,342989
2023-01,4.073,377481
2023-02,3.988,320955
2023-03,4.025,390395
2023-04,3.963,230471
2023-05,3.91,131780
2023-06,3.937,91030
2023-07,3.99,76408
2023-08,4.076,53580
2023-09,4.027,3716
