userName,score,at,content,sentimen
GLEN PLAY,1,2024-02-15 11:08:31,"akun saya di nomor lama di bekukan, di pindah akun premium saldo tidak otomatis masuk ke akun baru, jelas2 sudah data saya.. Saldo 15jt hangus tertinggal di akun yang tidak bisa di akses dan tidak bisa di pindahkan uangnya. Hubungi SC bilangnya di tindak Seharusnya penanganan langsung bisa di proses Aplikasi asuuu rumit sekali.. Lama2 di hapus playsote #DANA",NEGATIVE
Ardiansyah Hasibuan,5,2024-02-15 11:08:29,sangat baik,POSITIVE
Mhd Lutfy,5,2024-02-15 11:06:34,bgus bbget,NEGATIVE
Whiny Fauziah,5,2024-02-15 11:06:11,fast,POSITIVE
GAS SGR - VAP OFFICIAL,1,2024-02-15 11:05:09,"Kembalikan uang Rp 27.000 saya. Hanya gara"" KTP kabur sampe gak bisa upgrade, padahal nomor KTP jelas Saya jadi gak bisa transaksi. Kalau online pakai nomor KTP saja bisa terbuka identitas saya. Kembalikan saja uang saya, itu bukan uang nenek moyang kalian biarpun sedikit",NEGATIVE
Mariadi Mariadi,5,2024-02-15 11:04:29,mohon dipertahankan kernirjanya,NEGATIVE
abdul gani,1,2024-02-15 11:04:24,Aplikasi taiiiiiii upgrade ke premium terlalu lama sehingga saldo gak bisa terpakai,NEUTRAL
Jahe Merah,1,2024-02-15 11:03:14,Saldo Saya tiba tiba hilang sendiri ga aman naroh di dana,NEUTRAL
Sri Tia,1,2024-02-15 11:02:07,Susahh bgt buat masuk aja masak dh pakai 3nomer masih aja gk bisa,NEUTRAL
Erlan dwi,1,2024-02-15 11:01:47,Kenapa kode verivikasi saya tidak pernah kekirim padahal saya sudah memencet mengirim kode otp ke watshap tapi kode otp tidak pernah muncul,NEGATIVE
Ahmad Karim,5,2024-02-15 11:00:48,Cukup,POSITIVE
Supri Yanto,5,2024-02-15 11:00:44,biar 🌟 yg bicara,NEUTRAL
Novi Fidiawati,5,2024-02-15 11:00:39,mantapppppp,POSITIVE
Sari Anum,1,2024-02-15 11:00:16,Mau upgrade ke premium malah di persulit. Padahal udh ga burem masih aja burem hasil foto. Kmrn sempat berhasil tapi pas coba kirim dana malah suruh upgrade lagi. Bikin capek aja. Untung ga ngirim dalam jumlah banyak kmrn jadinya ga rugi2 bgt,NEGATIVE
Sandi Hmz,5,2024-02-15 11:00:08,mntap,POSITIVE
Nisma Nasution,5,2024-02-15 10:59:51,apk yg bagus,POSITIVE
Dhe Hilman official,1,2024-02-15 10:59:18,Tidak bisa log in...,NEGATIVE
Fenny Nella Manoppo,5,2024-02-15 10:58:37,Aplikasi yang sangat membantu,POSITIVE
Asih Bogor,5,2024-02-15 10:58:09,sangat membantu,POSITIVE
Mbah Hindun,1,2024-02-15 10:57:34,Mohon dibantu ya kak... Q gk bisa upgrade ke dana premium... Sdh dicoba berkali²...,NEUTRAL
Cecep Rustandar,1,2024-02-15 10:57:29,Ini kenapa saldo saya semua habis padahal tidak di pakai ! Dan ada riwayat ke buka lapak..?? Punya apk nya juga ngga !,NEGATIVE
Mhsa Kcl,1,2024-02-15 10:56:44,Kenapa tidak bisa di update apk nya?,NEGATIVE
Miduk Purba,5,2024-02-15 10:56:10,mantap,POSITIVE
LAz Ada,1,2024-02-15 10:55:12,Aplikasi perampok,NEGATIVE
Lanang Anuari,1,2024-02-15 10:54:56,Top up ndak masuk masuk,NEUTRAL
Heruherman Herman,5,2024-02-15 10:54:34,Saya sangat senang sekali aplikasi dana ini membantu sekali masalah saya .saya kasih bitang 5,POSITIVE
Khrlihzalbs,1,2024-02-15 10:53:44,"Masih ada duit di akun dana , dikarenakan nomor hp telah hilang tidak dapat login , selalu meminta verivikasi kode otp , mohon lah untuk pengguna dana yang kejadian sama seperti saya , di proses cepat lah , ini respon admin nya buruk banget ; disuruh nunggu dia hari, tapi sampe sekarang udah dua Minggu belum ada juga kembali uang saya ke akun tersebut, dan katanya akan di alihkan saldo ke dana baru dan saya juga sudah konfirmasi, mohon lah segera konfirmasi , saya sudah mengajukan semua prosedur",NEGATIVE
DimAn Ganteng,3,2024-02-15 10:53:38,Bos kenapa dana saya GK bisa masuk. Akun anda sedang di prokesik,NEUTRAL
Amanda Rafania syarifah,5,2024-02-15 10:52:33,good jobs,NEGATIVE
abdilah hamzika,5,2024-02-15 10:52:15,Mantap,POSITIVE
Muhidin Akew,5,2024-02-15 10:51:51,Dreaper,NEGATIVE
Aisah 07,1,2024-02-15 10:51:24,Pagi ini saya pun baru kehilqngan saldo sebesar 790.000 Entah apa boleh kah lebih aman lagi selama nih saya nyam an pakenapk nya baru hari nih kejadian seperti nih mungkin itu tak seberapa tapi jadi waswas untuk simpan saldo besar2 di dana mulai sekarang,NEGATIVE
lufindra gaming,2,2024-02-15 10:49:40,Saya kasih bintang 2 karna dana nya rusak saya sudah top up dana tapi tetep ga ada nominal gimana ya ini mau tipu apa gmna,NEGATIVE
Arsyila Farihatunissa,5,2024-02-15 10:49:22,sangat bagus,POSITIVE
Ega Anas,1,2024-02-15 10:49:12,"apkikasinya bisa nipu kcewa saya pake dana,ktanya dpt casbck nyatanya mlah ga bisa di ambil,buat pengguna dana jngn percaya sma event dana,penipuan.",NEGATIVE
nomnom Gomes,5,2024-02-15 10:48:18,sangat bagus,POSITIVE
LakLey Gimang,5,2024-02-15 10:47:11,mantap,POSITIVE
Rahmat Rahmat 1996 Rahmat Rahmat,5,2024-02-15 10:47:06,mantap,POSITIVE
Puji Setiyowati,1,2024-02-15 10:46:58,"aplikasinya ko ga bisa dibuka ya padahal sandi sama nomor sudah betul, jaringan pun bagus",POSITIVE
Ikuk Arifin26,1,2024-02-15 10:45:36,Apa ini sekarang dana gak jls akun saya gak bisa masuk sama sekali verifikasi terus jelas2 akun saya nomer juga aktif,NEUTRAL
Andika Pandu,1,2024-02-15 10:44:52,apk nya jelek aku udah download kok nggak ada saldonya sihh,NEGATIVE
Angela Gracia,2,2024-02-15 10:43:17,Hai kak Kenapa ya aplikasinya tidak bisa dibuka padahal jaringan bagus udah diupdate berulang-ulang lagi,NEGATIVE
Yusup Oh,4,2024-02-15 10:41:35,lumayan buat nambah ilmu pengetahuan,POSITIVE
Hardi Widoyo,1,2024-02-15 10:41:16,"Sumpah nyesel gua download dana ini, menyulitkan yg ada bukan nya praktis,apa lagi saat mengklaim polis sudah beberapa kali klaim gak pernah berhasil dengan alasan yg gak jelas,kalo gk mau di cairin jgn dipaksa donk orang suruh beli polis lu Pengaduan juga gak ada ketika kita live chat dina udah kaya ngechat orang yg sedang belajar membaca",NEGATIVE
Sayahebat,5,2024-02-15 10:40:47,cukup cepat buat transaksi dana top👍,POSITIVE
Cloud Nation,5,2024-02-15 10:38:17,mantap ga ribet,POSITIVE
Ciawi Bogor,3,2024-02-15 10:36:35,Bagus banget dan ga ribet,POSITIVE
Kiteng Ompe,5,2024-02-15 10:35:47,bagus,POSITIVE
Tety Nuraidah,5,2024-02-15 10:35:12,ok,NEGATIVE
Tatang Hidayat,5,2024-02-15 10:35:10,aplikasi Dana ok banget,POSITIVE
Nur Mukmina,1,2024-02-15 10:34:53,Kenapa uang hilang dan d tarik SMA orng tidak d kenal dan seperti pihak dana yg tarik uang a sya hilang 800rb lebih tolong kembalikan uang sya. SDH d chat tapi pura2 tidak paham.,NEGATIVE
Fitria Nadia,1,2024-02-15 10:33:18,Kenapa di hp saya tidak bisa di instalasi kk,NEGATIVE
TOLDOX CHANEL,4,2024-02-15 10:32:43,smoga sukses dan terima kasih,POSITIVE
Uci Bele,5,2024-02-15 10:32:35,selalu gk kebagian Flash sale,NEUTRAL
Sugianto,4,2024-02-15 10:32:23,Bagus,POSITIVE
erdhin Dzecko,1,2024-02-15 10:28:38,"Jangan pake DANA, aplikasi udh bnyak korban kena hack,,,",NEUTRAL
Indra Kelana,1,2024-02-15 10:28:09,"Kembalikan saldo saya ,saya tidak merasa bertransaksi tapi di histori sudah terkirim ke orang lain apk ini banyak oknum nya bgst.",NEGATIVE
Dia Saja,4,2024-02-15 10:27:30,ok,NEGATIVE
Nasi Kin,1,2024-02-15 10:27:01,Kebalikan saldo saya tidak merasa beli bara bayar mengunakan QRIS asu demon aja gedung dana kumpulkan masa,NEUTRAL
Mamay Mailani,1,2024-02-15 10:26:58,Gak bisa di doowlnoud,NEUTRAL
aira yuliani,4,2024-02-15 10:26:08,okay...,NEGATIVE
Raja Fasyah Raja Fasyah,5,2024-02-15 10:25:59,sangat puas,POSITIVE
Matahari Cell,5,2024-02-15 10:22:43,ok,NEGATIVE
Ardan Ardiansah,5,2024-02-15 10:22:21,sangat membatu,POSITIVE
Candra Khairudin,5,2024-02-15 10:21:56,keren,POSITIVE
Hasan Udin,5,2024-02-15 10:21:12,sangat puas,POSITIVE
Agoez Bae,5,2024-02-15 10:21:07,Susah di instal,NEGATIVE
Phani bansell,5,2024-02-15 10:20:39,senang sekali mngunakn dana,POSITIVE
Suci Mardiana,1,2024-02-15 10:19:10,"Suami saya saldonya ilang d dana 500,Ken hack ada yg telfon",NEUTRAL
Ridwa purnama,3,2024-02-15 10:18:34,"Bagai mana kembang lanjut nya masalah saldo saya yang hilang ko tidak ada lanjutan nya Saya chat ke pusat bantuan gk ada respon apa"" Cuma satu laporan sudah kami Terima tapi tidak ada penjelasan nya,tolong respon nya Jadi mau isi saldo lagi takut dan ragu.",NEGATIVE
Budi Santoso,1,2024-02-15 10:17:20,"proses update ke premium sangat lama , mana udah sy top up jadi gk bisa kirim"" uang.",NEGATIVE
Keysa Zahra,2,2024-02-15 10:17:05,Loading banget susah d buka,NEGATIVE
Panji Prayitno28,1,2024-02-15 10:17:04,"Saldo ingin di refund malah di puter puter pertanyaan nya aneh banget padahal sudah sangat jelas saya menjelaskan semuanya,aplikasi SAMPAHHH!!!",NEGATIVE
Adrian Rian,5,2024-02-15 10:16:43,puas,POSITIVE
Supriyatna Hidayat,5,2024-02-15 10:16:33,🙏🙏,NEUTRAL
sahrul kha,5,2024-02-15 10:16:04,like,POSITIVE
Zaenusobah Sobah,5,2024-02-15 10:13:53,keren,POSITIVE
Albert Syahputra,4,2024-02-15 10:13:50,Mantap,POSITIVE
m.irfanjago69@gmail.com primasetia,5,2024-02-15 10:13:04,proses nya cepat,POSITIVE
Anindiya husna,5,2024-02-15 10:12:52,nyaman bngt smga tambah baik lagi,POSITIVE
Ahmad Saifudin,2,2024-02-15 10:11:38,"Langsung Inti nya kenapa saya setiap mau jual emas saya selalu gagal,pasti muncul pemberitahuan ""terjadi kesalahan ketika memproses pesanan mu""kalau boleh tau kenapa ya",NEGATIVE
BANGBARA hideung,5,2024-02-15 10:10:27,👍👍👍👍👍,NEUTRAL
Fahrezi Gusti,1,2024-02-15 10:09:06,"halo min ini kenapa gw mau masukin pin selalu ada tulisan ""must not be null"" ya padahal pin gw udah gada angka nol nya dah",NEGATIVE
Abdul azistea2024,4,2024-02-15 10:09:00,oke cepat selamat,POSITIVE
ABo Abo13,5,2024-02-15 10:05:17,bagusssss,POSITIVE
Roti Bakar,4,2024-02-15 10:03:52,"Saya daftar dana bisnis dibacanya tertera maksimal dua hari, tapi ini sudah 3 hari blum juga keluar hasil nya, mengecewakan.",NEGATIVE
Rifal 2608,5,2024-02-15 10:03:43,muantap,POSITIVE
Anak rantau Anak rantau,5,2024-02-15 10:02:53,Cara mengunakan pinjaman online,NEUTRAL
Raka Syahreza,2,2024-02-15 10:01:43,"Kak dana saya tidak bisa dibuka,apa karena kartu saya sudah hangus,apa lagi saldo saya masih banyak",NEGATIVE
Irianto Haryadi,5,2024-02-15 10:01:40,"Berharap dgn menggunakan Dana lancar,tapi saat melakukan verifikasi begitu sulitnya. Petunjuk lihat diemail,tapi tidak muncul, uangpun akhirnya tidak bisa transfer.",NEGATIVE
Amelia Salsabila,2,2024-02-15 10:01:36,"Kenapa dana sekarang lambat, dn dipersulit pemprosesan kirim uang ny, saya tf uang ke rek, di aplikasi dana Sukses terkirim uangny, TAPI di Rek tujuan Tidak menerima uang",NEGATIVE
Darwis Ubaid,5,2024-02-15 10:00:00,sangat sangat goooodd,POSITIVE
Dedi Susanto,4,2024-02-15 09:59:55,sangat baik,POSITIVE
Niki Rianto,5,2024-02-15 09:59:50,sangat mempermudah transaksi,POSITIVE
Pemancing Lewi,5,2024-02-15 09:59:38,Bgus,POSITIVE
Dela Dela,1,2024-02-15 09:59:29,Mau bikin akun ada aja masalah jaringan lah akun di bekukan lah padahal baru aja download trs disuruh upgrade sekalinya di upgrade malah kgk bisa gmn sih buat apk tuh yg bnr klo masih banyak masalah ke gini mah buat apa coba,NEGATIVE
Awaludin Sheboedak Nezman Awaludin,1,2024-02-15 09:57:11,Masalah nya lama di selesaikan nya dana suka hilanng sendiri saldo nya,NEUTRAL
YOGZ GAMING,1,2024-02-15 09:56:44,Consumer servis id nya kayak anjeng asal bekukan akun orang..... Akun dana buat usaha di bekukan kan tolol kalok gak mau di pakek aplikasinya jangan di buat anjeng....,NEGATIVE
reza Aryatama,1,2024-02-15 09:55:28,Ada dana cicil tapi ga bisa di pake payah,NEGATIVE
Airin Sri,4,2024-02-15 09:54:42,semakin sulit pake dana untuk saat ini,NEGATIVE
Agnes Asetiawan,3,2024-02-15 09:50:34,Ini gimana kelanjutannya saldo dana saya hilang. Tanpa sepengetahuan saya,NEUTRAL
Virendra,5,2024-02-15 09:50:17,top apk,NEGATIVE
Nur Hayati,5,2024-02-15 09:50:13,Sangat membantu dan memudahkan saya,POSITIVE
Murah Acc,5,2024-02-15 09:49:56,Sanngat bagus,POSITIVE
Septiyana Aulia Romadoni,2,2024-02-15 09:49:36,"kenapa waktu saya memasukkan pin dana saya gak bisa, padahal gak pernah ganti pin",NEGATIVE
Nur Cholis 'Arif,2,2024-02-15 09:48:36,Kenapa sistem pembayarannya ribet bget harus ke dana premium trus prosesnya lama banget udah 1 hari nunggu gk selesai-selesai,NEGATIVE
DaNa Sopandi,3,2024-02-15 09:48:23,"Untuk transaksi oke sih cuman keluhan saya cuman kenapa perasaan gk berlangganan apapun di ps masih aja kesedot, buat yg nyimpen uang di dana jgn besar besar takut kesedot.",NEGATIVE
Ahmad Nafiri,4,2024-02-15 09:48:10,"Haloo ka ini kenapa ya proses vrefikasi ya lama padahal udh 1 hari lebih bahkan sampe satu Minggu,padahal di situ tertulis satu hari tapi saya nunggu ya lebih tolong kak, ad saldo ya walaupun ga seberapa tapi berarti buat saya 🙏🙏🙏🙏 respon minn dan saya juga udh dm akun Instagram resmi tapi ga ad respon",NEGATIVE
ahmad tohirin,4,2024-02-15 09:47:45,baik,POSITIVE
Fitri Fitri,5,2024-02-15 09:47:32,Baru mau pake,NEUTRAL
Zatmiko Andrian,5,2024-02-15 09:42:59,sangat baguss,POSITIVE
Muhammad Anshori,1,2024-02-15 09:42:54,"Kecewa berat, Halo CS Delon, barusan kita berbicara. Sumpah demi apa aku nahan diri buat gak ngata-ngatain, soalnya ini aku mau top up pulsa ehhh transaksinya nunggu sampe 1 jam, ini apa nih maksudnya. Paket dataku mau habis, masa aku nunggu resolusi dari tim resolusi selama 1x24 jam. Keburu habis paket dataku anying, mana gak ada uang cash lagi. Nyesel isi saldo Dana banyak-banyak. Lain kali diperbaikin lah ini masalah transaksi pending, soalnya 1 jam itu termasuk lama, buang-buang wktu nunggu",NEGATIVE
Tjatur sari Sari,2,2024-02-15 09:42:38,"Serem buka dana,ga dipake tiba"" dananya lenyap,ternyata bisa di bobol org untuk main game,di cek konter Bekasi,pnh kebekasi aja juga ga,knl juga ga,jadi takut ngisi saldo.",NEGATIVE
Aisya Fitri,5,2024-02-15 09:42:00,Mohon ijin ini saya mau tanya saldo ko ilng sendiri,NEUTRAL
Asni Rusman,5,2024-02-15 09:41:51,❤️,NEUTRAL
Aji Rera,5,2024-02-15 09:40:49,keren,POSITIVE
Acok Acok,1,2024-02-15 09:40:08,Kerja bos,NEGATIVE
MALIK Motovlog39,2,2024-02-15 09:39:59,Kenapa nggak bisa upgrade dana premium ajg bikin susah aja org susah mau narik uang,NEGATIVE
Vivi Dhanniar,5,2024-02-15 09:36:54,app good,POSITIVE
Mona Wati,5,2024-02-15 09:34:06,Good jibz dan sangat diperkenankan,NEGATIVE
Join Video1,1,2024-02-15 09:34:01,"saya baru saja mengalami masalah mengirim uang dari dana ke bca, info terkirim ada di aplikasi dana, pas di cek di bangking bca tidak ada saldo, nominal 350,000 Rupiah, bagai mana ini 😭😭😭",NEGATIVE
Deni Kurniawan,5,2024-02-15 09:33:35,ok,NEGATIVE
Musadi Hasyim,1,2024-02-15 09:32:34,passkey gak bisa di nonaktifkan gimana ini,NEGATIVE
Tmk 86,3,2024-02-15 09:31:48,mayan,POSITIVE
Radit Ya,5,2024-02-15 09:29:47,Bagus..karena sangat membantu,POSITIVE
Marbun Official,5,2024-02-15 09:28:59,"Hallo dana, bagaimana ini, saya transfer uang ke bank, dari pihak dana sudah sukses, tapi uang belum masuk ke rekening, kebetulan saya lagi butuh uang tersebut, tolong bantuanya segera",NEUTRAL
ᴊᴇssɪᴄᴀ,1,2024-02-15 09:27:44,𝑨𝒑𝒌,NEUTRAL
Cyber 3r0R,5,2024-02-15 09:27:15,bagus,POSITIVE
Musa nabil al abror,1,2024-02-15 09:27:04,Lag bgt pntek,NEGATIVE
Ucang ciwey,5,2024-02-15 09:24:51,Dana bagus,POSITIVE
Hery Prasetyo,3,2024-02-15 09:23:53,Aplikasi ini sangat bagus tapi sayang sekali cepat orang bisa ambil uang saya dalam sekejap,POSITIVE
Rizal Maulana,5,2024-02-15 09:23:19,Bagus untuk membantu transaksi,POSITIVE
Vanrivan08,4,2024-02-15 09:22:10,huu,POSITIVE
Muhammad Haris,5,2024-02-15 09:22:07,Bagus sekali pokoknya,POSITIVE
ika kurnia,4,2024-02-15 09:19:08,bagus,POSITIVE
Bimo Bino,4,2024-02-15 09:19:01,Good,POSITIVE
Abey Nci,3,2024-02-15 09:17:51,lumayan,POSITIVE
Kang Cuplay,1,2024-02-15 09:17:35,Sering banget gangguan,NEGATIVE
Wendywdy21 Wendy,5,2024-02-15 09:17:12,sangat simpel,POSITIVE
laelatul Najilah,5,2024-02-15 09:17:06,dana idolaku,POSITIVE
NantiIinantiNantizebua “Nantizebua” Nantizebuainanti,4,2024-02-15 09:16:34,Klo dibuka knp paya y...?,NEUTRAL
Wahyu Ningsih,5,2024-02-15 09:15:35,Sangat memuaskan dan praktis 👍👍👍👍,POSITIVE
Syarifah Hidayati,4,2024-02-15 09:15:01,e walllet terbaik,POSITIVE
Wahyu Widodo,5,2024-02-15 09:15:01,Sangat membantu tabungan,POSITIVE
Andriansyah Official,3,2024-02-15 09:13:57,"Sbener nya bagus bisa kebantu ada DANA... Cuma tiba"" pas tarik dana kok gx bisa.. padahal saldo ada isi nya dibilang gx cukup... Hett untung bisa di kirim dulu saldo nya ke Dana yg hp laen biar bisa di ambil tarik dana....",POSITIVE
Jihan Furaida,2,2024-02-15 09:12:45,trimaksih bisa mmbntu trsfer kmana tdak rbet,NEGATIVE
TENDI FRASETIA,1,2024-02-15 09:12:41,"Jangan simpen uang kalian di dana , masa tiba2 saldo gua berkurang tiba2 ada tagian matchup uk limited gak jelas ,sekali potong 50 rb",NEGATIVE
Adreena,5,2024-02-15 09:11:17,mudah,POSITIVE
fitriyani rapid,5,2024-02-15 09:08:46,bsgus,POSITIVE
Jndanmuda 123,5,2024-02-15 09:07:32,saya puas pakai dana,POSITIVE
Ahmad NK,5,2024-02-15 09:06:44,gampang dalam pengaplikasian nya,POSITIVE
Darus salam,5,2024-02-15 09:06:03,sangat baik,POSITIVE
nimah imah,5,2024-02-15 09:05:26,sangat snagat membantu sekaki makasih,POSITIVE
Fandi Zonk,1,2024-02-15 09:04:21,mantap,POSITIVE
Burung Berkicau Sidoarjo,5,2024-02-15 09:04:02,puas kirim uang pake dana👍,NEUTRAL
Sakir Maulana,5,2024-02-15 09:03:53,bangus skali,NEGATIVE
Novrianti natama,2,2024-02-15 09:03:51,"Kenapa ya dana tuh ribet bgt? masa upgrade nya lama bgt padahal udh sesuai semua syarat nya, tolong dong kebijakan nya di permudah",NEGATIVE
Medli Dli,5,2024-02-15 09:01:25,ok,NEGATIVE
Ahinnudin Batulicin,4,2024-02-15 09:01:18,bagus,POSITIVE
Alif Septiana,1,2024-02-15 09:00:47,Bgus,POSITIVE
Rudi putra,2,2024-02-15 08:57:10,Kenapa saya gak dapat fiktur dana cicilan Bagaimana caranya supaya saya dapat fiktur dana cicilan,NEUTRAL
Juleha Jr75,3,2024-02-15 08:56:40,Kak kenapa saya transfer ke bank bri lewat aplikasi dana. Di dana tulisan nya berhasil/sukses tapi saldo tidak masuk ke rekening si penerima. Bisa tolong di jelaskan. Saya harus bikin laporan ke mana,NEGATIVE
Xd1mas 555,2,2024-02-15 08:56:32,Tolong ini gimana ini apk dana saya gak bisa login cuman sampe verifikasi aktifitas doang abis uptade kok malah sulit login nya,NEGATIVE
Mudasyir,5,2024-02-15 08:56:27,Mantapp,POSITIVE
arisb mahagia,4,2024-02-15 08:56:05,keren bingit !!!!!!!!,NEGATIVE
ryfand lbs23,1,2024-02-15 08:54:40,Terlalu lama proses ke premium,NEGATIVE
MHD Firgan,5,2024-02-15 08:54:11,Saya suka aplikasi DANA sungguh sangat membantu,POSITIVE
willy makisurat,1,2024-02-15 08:54:09,aplikasi pencurian ini.. jangan di instal. saldo saya hilang di ambil orang dalam di aplikasi ini. saya tidak melakukan transaksi qris tapi ada transaksi qris yg mengambil saldo saya 690rb ternyata SDH banyak korban oleh aplikasi ini ada di YouTube juga. transaksi qris dari Sumba padahal posisi saya ada d Tangerang.. sudah di lapor ke pihak aplikasi tidak ada kejelasan malahan bilang laporan di tolak karena kesalahan saya katanya. padahal transaksi tidak saya lakukan dan bukti qris ada di sumba,NEGATIVE
Amelia metriyani Berek,5,2024-02-15 08:53:11,upgrade nya harus 3-5 hari. bikin susah ehh,NEGATIVE
Mustofa,5,2024-02-15 08:49:36,berguna banget,POSITIVE
Romi Andrian,5,2024-02-15 08:49:36,mantap sangat membantu,POSITIVE
Afif Zakaria,1,2024-02-15 08:48:43,Tidak profesional sekali. Uang nggak masuk ke rekening,NEGATIVE
Muh Shofa,5,2024-02-15 08:48:17,Keren,POSITIVE
Sayet putrajwl,2,2024-02-15 08:48:04,Kenapa sekrang mau isi pulsa erorr trus.. Bukan kedepan lebih baik malah. Tambah jelek aplikasinya,NEGATIVE
Retno Yuli,4,2024-02-15 08:47:49,Sudah tau kartu hilang masih di minta kode OTP padahal verifikasi wajah sudah tapi tetap saja di minta kode OTP gimana ini,NEGATIVE
grab Tommy Jaya R,2,2024-02-15 08:46:08,"Apk cukup bagus dan beguna, tapi setiap kali download ulang apk ini malah di suruh verifikasi di tap layar atau ada notif verifikasi, tapi notif nya gk muncul hampir 3 hari, dan kalo bisa di update lagi apk nya",NEGATIVE
Zona Olahraga,1,2024-02-15 08:42:17,"Saya transfer ke bank btn lewat apk dana, di riwayat sudah berhasil ,tapi uang saya belum masuk ke bank btn,,mending gak usah pake dana ,sekian terima kasih, biar tidak ada korban seterusnya",NEGATIVE
Den. DM3A,4,2024-02-15 08:41:32,update jgn terlalu cepet ya,NEGATIVE
Saif Udin,5,2024-02-15 08:41:19,ok,NEGATIVE
Dicky Kurniawan,5,2024-02-15 08:39:36,Ok,POSITIVE
Rian Maulana,5,2024-02-15 08:38:50,sangan paten,POSITIVE
Ari Cembre,5,2024-02-15 08:37:31,bagus,POSITIVE
Q.H.U Official,1,2024-02-15 08:37:27,"gimana ini dana? tiba2 saldo saya diambil oleh google padahal tidak melakukan transaksi apa apa, aneh",NEGATIVE
Solihin Anjay,5,2024-02-15 08:37:11,Aplikasi dana emang terbaik banget ya pantas di beri lima bintang👍,POSITIVE
Gina Sonia,1,2024-02-15 08:36:56,Kenapa mengupgradetan nya lama banget sih padahal udah diisi saldo nya,NEGATIVE
Putrakalimantan Kalimantan,5,2024-02-15 08:36:11,mantap cepat,POSITIVE
Najil Hasnack,3,2024-02-15 08:35:51,ribet pas upgrade premium datanya ketolak trus,NEGATIVE
Knight Gt,2,2024-02-15 08:35:41,Ini sumpah kenapa saat di suruh buat nmr pin ini selalu ngak bisa jadi saya masih kesulitan untuk membuat nmr pin tolong di perbaiki saat membuat nmr pin,NEGATIVE
Diky Jaya,1,2024-02-15 08:35:14,Gimana ini saya upgret dana premium dari kmaren dalam proses mulu uda hampir 4hari,NEUTRAL
Arimukti Mukti,5,2024-02-15 08:32:02,bagus,POSITIVE
aminah 2001,5,2024-02-15 08:31:17,Bagus,POSITIVE
Iskandar Mohammad,1,2024-02-15 08:30:52,Bolak balik gak bisa diinstal,NEGATIVE
Angga Aprianto,5,2024-02-15 08:22:50,nice apk,NEGATIVE
Dolly irawan Siringo Dolly,3,2024-02-15 08:21:40,ok,NEGATIVE
lord Syarif,5,2024-02-15 08:17:08,di permudah,POSITIVE
Alleya Gadis PaPa,5,2024-02-15 08:16:55,sangat membuntu,NEGATIVE
