idx,Opertaor,Field,Keyword / Phrase
187,OR,TITLE-ABS,rehabilitation of the river
188,OR,TITLE-ABS,rehabilitation of the rivers
189,OR,TITLE-ABS,river rehabilitation
190,OR,TITLE-ABS,rivers rehabilitation
191,OR,TITLE-ABS,river bank rehabilitation
192,OR,TITLE-ABS,river banks rehabilitation
193,OR,TITLE-ABS,rehabilitate river
194,OR,TITLE-ABS,rehabilitate rivers
195,OR,TITLE-ABS,rehabilitate the river
196,OR,TITLE-ABS,rehabilitate the rivers
197,OR,AUTHKEY,rehabilitation of river
198,OR,AUTHKEY,rehabilitation of rivers
199,OR,AUTHKEY,rehabilitation of the river
200,OR,AUTHKEY,rehabilitation of the rivers
201,OR,AUTHKEY,river rehabilitation
202,OR,AUTHKEY,rivers rehabilitation
203,OR,AUTHKEY,river bank rehabilitation
204,OR,AUTHKEY,river banks rehabilitation
205,OR,AUTHKEY,rehabilitate river
206,OR,AUTHKEY,rehabilitate rivers
207,OR,AUTHKEY,rehabilitate the river
208,OR,AUTHKEY,rehabilitate the rivers
209,OR,TITLE-ABS,river degradation
210,OR,AUTHKEY,river degradation
211,OR,TITLE-ABS,rehabilitation*
212,OR,TITLE-ABS,restoration*
213,AND,TITLE-ABS,water
214,OR,TITLE-ABS,lake*
215,OR,TITLE-ABS,river*
216,OR,TITLE-ABS,basin*
217,OR,TITLE-ABS,estuar*
218,AND,TITLE-ABS,ecosystem*
219,OR,AUTHKEY,rehabilitation*
220,OR,AUTHKEY,restoration*
221,AND,AUTHKEY,water
222,OR,AUTHKEY,lake*
223,OR,AUTHKEY,river*
224,OR,AUTHKEY,basin*
225,OR,AUTHKEY,estuar*
226,AND,AUTHKEY,ecosystem*
227,OR,TITLE-ABS,rehabilitation
228,OR,TITLE-ABS,restoration
229,AND,TITLE-ABS,water bodies
230,OR,AUTHKEY,rehabilitation
231,OR,AUTHKEY,restoration
232,AND,AUTHKEY,water bodies
233,OR,TITLE-ABS,protect*
234,OR,TITLE-ABS,conservation*
235,AND,TITLE-ABS,water*
236,AND,TITLE-ABS,ecosystem*
237,OR,AUTHKEY,protect*
238,OR,AUTHKEY,conservation*
239,AND,AUTHKEY,water*
240,AND,AUTHKEY,ecosystem*
241,OR,TITLE-ABS,restoration of stream
242,OR,TITLE-ABS,restoration of streams
243,OR,TITLE-ABS,restoration of the stream
244,OR,TITLE-ABS,restoration of the streams
245,OR,TITLE-ABS,restore stream
246,OR,TITLE-ABS,restore streams
247,OR,TITLE-ABS,restore the streams
248,OR,TITLE-ABS,restore the stream
249,OR,TITLE-ABS,stream restoration
250,OR,TITLE-ABS,streams restoration
251,OR,TITLE-ABS,river stream restoration
252,OR,TITLE-ABS,river streams restoration
253,OR,AUTHKEY,restoration of stream
254,OR,AUTHKEY,restoration of streams
255,OR,AUTHKEY,restoration of the stream
256,OR,AUTHKEY,restoration of the streams
257,OR,AUTHKEY,restore stream
258,OR,AUTHKEY,restore streams
259,OR,AUTHKEY,restore the streams
260,OR,AUTHKEY,restore the stream
261,OR,AUTHKEY,stream restoration
262,OR,AUTHKEY,streams restoration
263,OR,AUTHKEY,river stream restoration
264,OR,AUTHKEY,river streams restoration
265,OR,TITLE-ABS,wetlands
266,OR,TITLE-ABS,wetland
267,AND,TITLE-ABS,restoration and management
268,OR,AUTHKEY,wetlands
269,OR,AUTHKEY,wetland
270,AND,AUTHKEY,restoration and management
271,OR,TITLE-ABS,protecting freshwaters
272,OR,AUTHKEY,protecting freshwaters
273,OR,TITLE-ABS,degraded river
274,OR,AUTHKEY,degraded river
275,OR,TITLE-ABS,rehabilitation*
276,OR,TITLE-ABS,restoration*
277,AND,TITLE-ABS,lake*
278,OR,TITLE-ABS,river*
279,OR,TITLE-ABS,basin*
280,OR,TITLE-ABS,estuar*
281,OR,AUTHKEY,rehabilitation*
282,OR,AUTHKEY,restoration*
283,AND,AUTHKEY,lake*
284,OR,AUTHKEY,river*
285,OR,AUTHKEY,basin*
286,OR,AUTHKEY,estuar*
287,OR,TITLE-ABS,water ecosystems
288,OR,TITLE-ABS,water eco-systems
289,OR,TITLE-ABS,water ecosystem
290,OR,TITLE-ABS,water eco-system
291,AND,TITLE-ABS,preservation
292,OR,TITLE-ABS,water ecosystems
293,OR,TITLE-ABS,water ecosystems
294,OR,TITLE-ABS,water ecosystem
295,OR,TITLE-ABS,water ecosystem
296,AND,TITLE-ABS,preservation
297,OR,AUTHKEY,water ecosystems
298,OR,AUTHKEY,water eco-systems
299,OR,AUTHKEY,water ecosystem
300,OR,AUTHKEY,water eco-system
301,AND,AUTHKEY,preservation
302,OR,AUTHKEY,water ecosystems
303,OR,AUTHKEY,water ecosystems
304,OR,AUTHKEY,water ecosystem
305,OR,AUTHKEY,water ecosystem
306,AND,AUTHKEY,preservation
307,OR,TITLE-ABS,restoration of Streambank
308,OR,TITLE-ABS,restoration of Streambanks
309,OR,TITLE-ABS,restore Streambank
310,OR,TITLE-ABS,restore Streambanks
311,OR,TITLE-ABS,Streambank restoration
312,OR,TITLE-ABS,Streambanks restoration
313,OR,AUTHKEY,restoration of Streambank
314,OR,AUTHKEY,restoration of Streambanks
315,OR,AUTHKEY,restore Streambank
316,OR,AUTHKEY,restore Streambanks
317,OR,AUTHKEY,Streambank restoration
318,OR,AUTHKEY,Streambanks restoration
319,OR,TITLE-ABS,protection of water ecosystem
320,OR,TITLE-ABS,protection of water ecosystems
321,OR,TITLE-ABS,protection of the water ecosystem
322,OR,TITLE-ABS,protection of the water ecosystems
323,OR,TITLE-ABS,protect water ecosystem
324,OR,TITLE-ABS,protect water ecosystems
325,OR,TITLE-ABS,protect the water ecosystem
326,OR,TITLE-ABS,protect the water ecosystems
327,OR,TITLE-ABS,water ecosystem protection
328,OR,TITLE-ABS,water ecosystems protection
329,OR,AUTHKEY,protection of water ecosystem
330,OR,AUTHKEY,protection of water ecosystems
331,OR,AUTHKEY,protection of the water ecosystem
332,OR,AUTHKEY,protection of the water ecosystems
333,OR,AUTHKEY,protect water ecosystem
334,OR,AUTHKEY,protect water ecosystems
335,OR,AUTHKEY,protect the water ecosystem
336,OR,AUTHKEY,protect the water ecosystems
337,OR,AUTHKEY,water ecosystem protection
338,OR,AUTHKEY,water ecosystems protection
339,OR,TITLE-ABS,rehabilitation of water eco-system
340,OR,TITLE-ABS,rehabilitation of water eco-systems
341,OR,TITLE-ABS,rehabilitation of the water eco-system
342,OR,TITLE-ABS,rehabilitation of the water eco-systems
343,OR,TITLE-ABS,rehabilitate water eco-system
344,OR,TITLE-ABS,rehabilitate water eco-systems
345,OR,TITLE-ABS,rehabilitate the water eco-system
346,OR,TITLE-ABS,rehabilitate the water eco-systems
347,OR,TITLE-ABS,water eco-system rehabilitation
348,OR,TITLE-ABS,water eco-systems rehabilitation
349,OR,TITLE-ABS,rehabilitation of water ecosystem
350,OR,TITLE-ABS,rehabilitation of water ecosystems
351,OR,TITLE-ABS,rehabilitation of the water ecosystem
352,OR,TITLE-ABS,rehabilitation of the water ecosystems
353,OR,TITLE-ABS,rehabilitate water ecosystem
354,OR,TITLE-ABS,rehabilitate water ecosystems
355,OR,TITLE-ABS,rehabilitate the water ecosystem
356,OR,TITLE-ABS,rehabilitate the water ecosystems
357,OR,TITLE-ABS,water ecosystem rehabilitation
358,OR,TITLE-ABS,water ecosystems rehabilitation
359,OR,AUTHKEY,rehabilitation of water eco-system
360,OR,AUTHKEY,rehabilitation of water eco-systems
361,OR,AUTHKEY,rehabilitation of the water eco-system
362,OR,AUTHKEY,rehabilitation of the water eco-systems
363,OR,AUTHKEY,rehabilitate water eco-system
364,OR,AUTHKEY,rehabilitate water eco-systems
365,OR,AUTHKEY,rehabilitate the water eco-system
366,OR,AUTHKEY,rehabilitate the water eco-systems
367,OR,AUTHKEY,water eco-system rehabilitation
368,OR,AUTHKEY,water eco-systems rehabilitation
369,OR,AUTHKEY,rehabilitation of water ecosystem
370,OR,AUTHKEY,rehabilitation of water ecosystems
371,OR,AUTHKEY,rehabilitation of the water ecosystem
372,OR,AUTHKEY,rehabilitation of the water ecosystems
373,OR,AUTHKEY,rehabilitate water ecosystem
374,OR,AUTHKEY,rehabilitate water ecosystems
375,OR,AUTHKEY,rehabilitate the water ecosystem
376,OR,AUTHKEY,rehabilitate the water ecosystems
377,OR,AUTHKEY,water ecosystem rehabilitation
378,OR,AUTHKEY,water ecosystems rehabilitation
379,OR,TITLE-ABS,protection of river
380,OR,TITLE-ABS,protection of rivers
381,OR,TITLE-ABS,protection of the river
382,OR,TITLE-ABS,protection of the rivers
383,OR,TITLE-ABS,protect river
384,OR,TITLE-ABS,protect rivers
385,OR,TITLE-ABS,protect the river
386,OR,TITLE-ABS,protect the rivers
387,OR,TITLE-ABS,river protection
388,OR,TITLE-ABS,rivers protection
389,OR,TITLE-ABS,river bank protection
390,OR,TITLE-ABS,river banks protection
391,OR,AUTHKEY,protection of river
392,OR,AUTHKEY,protection of rivers
393,OR,AUTHKEY,protection of the river
394,OR,AUTHKEY,protection of the rivers
395,OR,AUTHKEY,protect river
396,OR,AUTHKEY,protect rivers
397,OR,AUTHKEY,protect the river
398,OR,AUTHKEY,protect the rivers
399,OR,AUTHKEY,river protection
400,OR,AUTHKEY,rivers protection
401,OR,AUTHKEY,river bank protection
402,OR,AUTHKEY,river banks protection
403,OR,TITLE-ABS,rehabilitation of groundwater
404,OR,TITLE-ABS,rehabilitation of groundwaters
405,OR,TITLE-ABS,rehabilitate groundwater
406,OR,TITLE-ABS,rehabilitate groundwaters
407,OR,TITLE-ABS,groundwater rehabilitation
408,OR,TITLE-ABS,groundwaters rehabilitation
409,OR,TITLE-ABS,rehabilitation of ground-water
410,OR,TITLE-ABS,rehabilitation of ground-waters
411,OR,TITLE-ABS,rehabilitate ground-water
412,OR,TITLE-ABS,rehabilitate ground-waters
413,OR,TITLE-ABS,ground-water rehabilitation
414,OR,TITLE-ABS,ground-waters rehabilitation
415,OR,TITLE-ABS,rehabilitation of groundwater
416,OR,TITLE-ABS,rehabilitation of groundwaters
417,OR,TITLE-ABS,rehabilitate groundwater
418,OR,TITLE-ABS,rehabilitate groundwaters
419,OR,TITLE-ABS,groundwater rehabilitation
420,OR,TITLE-ABS,groundwaters rehabilitation
421,OR,TITLE-ABS,rehabilitation of groundwater
422,OR,TITLE-ABS,rehabilitation of groundwaters
423,OR,TITLE-ABS,rehabilitate groundwater
424,OR,TITLE-ABS,rehabilitate groundwaters
425,OR,TITLE-ABS,groundwater rehabilitation
426,OR,TITLE-ABS,groundwaters rehabilitation
427,OR,AUTHKEY,rehabilitation of groundwater
428,OR,AUTHKEY,rehabilitation of groundwaters
429,OR,AUTHKEY,rehabilitate groundwater
430,OR,AUTHKEY,rehabilitate groundwaters
431,OR,AUTHKEY,groundwater rehabilitation
432,OR,AUTHKEY,groundwaters rehabilitation
433,OR,AUTHKEY,rehabilitation of ground-water
434,OR,AUTHKEY,rehabilitation of ground-waters
435,OR,AUTHKEY,rehabilitate ground-water
436,OR,AUTHKEY,rehabilitate ground-waters
437,OR,AUTHKEY,ground-water rehabilitation
438,OR,AUTHKEY,ground-waters rehabilitation
439,OR,AUTHKEY,rehabilitation of groundwater
440,OR,AUTHKEY,rehabilitation of groundwaters
441,OR,AUTHKEY,rehabilitate groundwater
442,OR,AUTHKEY,rehabilitate groundwaters
443,OR,AUTHKEY,groundwater rehabilitation
444,OR,AUTHKEY,groundwaters rehabilitation
445,OR,AUTHKEY,rehabilitation of groundwater
446,OR,AUTHKEY,rehabilitation of groundwaters
447,OR,AUTHKEY,rehabilitate groundwater
448,OR,AUTHKEY,rehabilitate groundwaters
449,OR,AUTHKEY,groundwater rehabilitation
450,OR,AUTHKEY,groundwaters rehabilitation
451,OR,KEY,protection of pond
452,OR,KEY,protection of ponds
453,OR,KEY,protect pond
454,OR,KEY,protect ponds
455,OR,KEY,pond protection
456,OR,KEY,ponds protection
457,OR,KEY,rehabilitation of pond
458,OR,KEY,rehabilitation of ponds
459,OR,KEY,rehabilitate pond
460,OR,KEY,rehabilitate ponds
461,OR,KEY,pond rehabilitation
462,OR,KEY,ponds rehabilitation
463,OR,KEY,restoration of pond
464,OR,KEY,restoration of ponds
465,OR,KEY,restore pond
466,OR,KEY,restore ponds
467,OR,KEY,pond restoration
468,OR,KEY,ponds restoration
469,OR,TITLE-ABS,degraded rivers
470,OR,AUTHKEY,degraded rivers
471,OR,TITLE-ABS,stabilization of rivers
472,OR,AUTHKEY,stabilization of rivers
473,OR,TITLE-ABS,preservation of aquifers
474,OR,TITLE-ABS,preservation of aquifers
475,OR,TITLE-ABS,preserve aquifer
476,OR,TITLE-ABS,preserve aquifers
477,OR,TITLE-ABS,aquifer preservation
478,OR,TITLE-ABS,aquifers preservation
479,OR,AUTHKEY,preservation of aquifers
480,OR,AUTHKEY,preservation of aquifers
481,OR,AUTHKEY,preserve aquifer
482,OR,AUTHKEY,preserve aquifers
483,OR,AUTHKEY,aquifer preservation
484,OR,AUTHKEY,aquifers preservation
485,OR,TITLE-ABS,water ecosystems
486,OR,TITLE-ABS,water eco-systems
487,OR,TITLE-ABS,water ecosystem
488,OR,TITLE-ABS,water eco-system
489,OR,TITLE-ABS,rehabilitation
490,OR,TITLE-ABS,water ecosystems
491,OR,TITLE-ABS,water ecosystems
492,OR,TITLE-ABS,water ecosystem
493,OR,TITLE-ABS,water ecosystem
494,AND,TITLE-ABS,rehabilitation
495,OR,AUTHKEY,water ecosystems
496,OR,AUTHKEY,water eco-systems
497,OR,AUTHKEY,water ecosystem
498,OR,AUTHKEY,water eco-system
499,AND,AUTHKEY,rehabilitation
500,OR,AUTHKEY,water ecosystems
501,OR,AUTHKEY,water ecosystems
502,OR,AUTHKEY,water ecosystem
503,OR,AUTHKEY,water ecosystem
504,AND,AUTHKEY,rehabilitation
505,OR,TITLE-ABS,rehabilitation of stream
506,OR,TITLE-ABS,rehabilitation of streams
507,OR,TITLE-ABS,rehabilitation of the stream
508,OR,TITLE-ABS,rehabilitation of the streams
509,OR,TITLE-ABS,rehabilitate stream
510,OR,TITLE-ABS,rehabilitate streams
511,OR,TITLE-ABS,rehabilitate the streams
512,OR,TITLE-ABS,rehabilitate the stream
513,OR,TITLE-ABS,stream rehabilitation
514,OR,TITLE-ABS,streams rehabilitation
515,OR,TITLE-ABS,river stream rehabilitation
516,OR,TITLE-ABS,river streams rehabilitation
517,OR,AUTHKEY,rehabilitation of stream
518,OR,AUTHKEY,rehabilitation of streams
519,OR,AUTHKEY,rehabilitation of the stream
520,OR,AUTHKEY,rehabilitation of the streams
521,OR,AUTHKEY,rehabilitate stream
522,OR,AUTHKEY,rehabilitate streams
523,OR,AUTHKEY,rehabilitate the streams
524,OR,AUTHKEY,rehabilitate the stream
525,OR,AUTHKEY,stream rehabilitation
526,OR,AUTHKEY,streams rehabilitation
527,OR,AUTHKEY,river stream rehabilitation
528,OR,AUTHKEY,river streams rehabilitation
529,OR,TITLE-ABS,riparian
530,AND,TITLE-ABS,rehabilitation
531,OR,AUTHKEY,riparian
532,OR,AUTHKEY,rehabilitation
533,OR,KEY,protection of aquifers
534,OR,KEY,protection of aquifers
535,OR,KEY,protection of the aquifer
536,OR,KEY,protection of the aquifers
537,OR,KEY,protect aquifer
538,OR,KEY,protect aquifers
539,OR,KEY,protect the aquifer
540,OR,KEY,protect the aquifers
541,OR,KEY,aquifer protection
542,OR,KEY,aquifers protection
543,OR,KEY,rehabilitation of aquifer
544,OR,KEY,rehabilitation of aquifers
545,OR,KEY,rehabilitation of the aquifer
546,OR,KEY,rehabilitation of the aquifers
547,OR,KEY,rehabilitate aquifer
548,OR,KEY,rehabilitate aquifers
549,OR,KEY,rehabilitate the aquifer
550,OR,KEY,rehabilitate the aquifers
551,OR,KEY,aquifer rehabilitation
552,OR,KEY,aquifers rehabilitation
553,OR,KEY,aquifer restoration
554,OR,KEY,aquifers restoration
555,OR,KEY, restoration of aquifer
556,OR,KEY,restoration of aquifers
557,OR,KEY,restoration of the aquifer
558,OR,KEY,restoration of the aquifers
559,OR,KEY,restore aquifer
560,OR,KEY,restore aquifers
561,OR,KEY,restore the aquifer
562,OR,KEY,restore the aquifers
563,OR,TITLE-ABS,riparian restoration
564,OR,AUTHKEY,riparian restoration
565,OR,TITLE-ABS,stabilization of stream banks
566,OR,AUTHKEY,stabilization of stream banks
567,OR,TITLE-ABS,protection of water eco-system
568,OR,TITLE-ABS,protection of water eco-systems
569,OR,TITLE-ABS,protection of the water eco-system
570,OR,TITLE-ABS,protection of the water eco-systems
571,OR,TITLE-ABS,protect water eco-system
572,OR,TITLE-ABS,protect water eco-systems
573,OR,TITLE-ABS,protect the water eco-system
574,OR,TITLE-ABS,protect the water eco-systems
575,OR,TITLE-ABS,water eco-system protection
576,OR,TITLE-ABS,water eco-systems protection
577,OR,TITLE-ABS,protection of water ecosystem
578,OR,TITLE-ABS,protection of water ecosystems
579,OR,TITLE-ABS,protection of the water ecosystem
580,OR,TITLE-ABS,protection of the water ecosystems
581,OR,TITLE-ABS,protect water ecosystem
582,OR,TITLE-ABS,protect water ecosystems
583,OR,TITLE-ABS,protect the water ecosystem
584,OR,TITLE-ABS,protect the water ecosystems
585,OR,TITLE-ABS,water ecosystem protection
586,OR,TITLE-ABS,water ecosystems protection
587,OR,AUTHKEY,protection of water eco-system
588,OR,AUTHKEY,protection of water eco-systems
589,OR,AUTHKEY,protection of the water eco-system
590,OR,AUTHKEY,protection of the water eco-systems
591,OR,AUTHKEY,protect water eco-system
592,OR,AUTHKEY,protect water eco-systems
593,OR,AUTHKEY,protect the water eco-system
594,OR,AUTHKEY,protect the water eco-systems
595,OR,AUTHKEY,water eco-system protection
596,OR,AUTHKEY,water eco-systems protection
597,OR,AUTHKEY,protection of water ecosystem
598,OR,AUTHKEY,protection of water ecosystems
599,OR,AUTHKEY,protection of the water ecosystem
600,OR,AUTHKEY,protection of the water ecosystems
601,OR,AUTHKEY,protect water ecosystem
602,OR,AUTHKEY,protect water ecosystems
603,OR,AUTHKEY,protect the water ecosystem
604,OR,AUTHKEY,protect the water ecosystems
605,OR,AUTHKEY,water ecosystem protection
606,OR,AUTHKEY,water ecosystems protection
607,OR,TITLE-ABS,river restoration
608,OR,TITLE-ABS,rivers restoration
609,OR,TITLE-ABS,river bank restoration
610,OR,TITLE-ABS,river banks restoration
611,OR,TITLE-ABS, restoration of river
612,OR,TITLE-ABS,restoration of rivers
613,OR,TITLE-ABS,restoration of the river
614,OR,TITLE-ABS,restoration of the rivers
615,OR,TITLE-ABS,restore river
616,OR,TITLE-ABS,restore rivers
617,OR,TITLE-ABS,restore the river
618,OR,TITLE-ABS,restore the rivers
619,OR,AUTHKEY,river restoration
620,OR,AUTHKEY,rivers restoration
621,OR,AUTHKEY,river bank restoration
622,OR,AUTHKEY,river banks restoration
623,OR,AUTHKEY, restoration of river
624,OR,AUTHKEY,restoration of rivers
625,OR,AUTHKEY,restoration of the river
626,OR,AUTHKEY,restoration of the rivers
627,OR,AUTHKEY,restore river
628,OR,AUTHKEY,restore rivers
629,OR,AUTHKEY,restore the river
630,OR,AUTHKEY,restore the rivers
631,OR,TITLE-ABS,protection of Streambank
632,OR,TITLE-ABS,protection of Streambanks
633,OR,TITLE-ABS,protect Streambank
634,OR,TITLE-ABS,protect Streambanks
635,OR,TITLE-ABS,Streambank protection
636,OR,TITLE-ABS,Streambanks protection
637,OR,AUTHKEY,protection of Streambank
638,OR,AUTHKEY,protection of Streambanks
639,OR,AUTHKEY,protect Streambank
640,OR,AUTHKEY,protect Streambanks
641,OR,AUTHKEY,Streambank protection
642,OR,AUTHKEY,Streambanks protection
643,OR,TITLE-ABS,water ecosystems
644,OR,TITLE-ABS,water eco-systems
645,OR,TITLE-ABS,water ecosystem
646,OR,TITLE-ABS,water eco-system
647,OR,TITLE-ABS,protection
648,OR,TITLE-ABS,water ecosystems
649,OR,TITLE-ABS,water ecosystems
